entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.068196215,NA,NA,0.732846964,0.866749727,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.368465091,NA,NA,0.069083322,0.141848863,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.152252713,NA,NA,0.456246081,0.649420377,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.030200345,NA,NA,0.888871531,0.956956995,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.017345994,NA,NA,0.936087384,1,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.538915888,NA,NA,0.05697246,0.137774146,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.064998777,NA,NA,0.813463585,0.882929304,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.035950478,NA,NA,0.895606914,1,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.639324656,NA,NA,0.019217035,0.174364674,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.1243248,NA,NA,6.79e-06,1.84e-05,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.0067296,NA,NA,0.000172451,0.000362325,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.017045779,NA,NA,0.941831985,1,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.780903847,NA,NA,0.001486844,0.004445283,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.104572887,NA,NA,0.816122267,0.880860259,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.083060319,NA,NA,0.85835957,0.905738852,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.495552148,NA,NA,0.265742187,0.945333555,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.055894136,NA,NA,0.901643453,0.965253822,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.047197194,NA,NA,0.012685423,0.023788249,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.52600154,NA,NA,8.76e-06,2.33e-05,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.174648946,NA,NA,0.584430994,0.930523868,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.00733991,NA,NA,0.00242458,0.004993761,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.218535759,NA,NA,0.611852818,0.684383157,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.132817416,NA,NA,0.757806543,0.803617476,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.125042742,NA,NA,0.767833114,1,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.35501405,NA,NA,0.400266194,0.543870191,NA,NA,NA
100190939,TPT1-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0813120118569403,NA,NA,0.481071560770896,0.99776532938064,369.634192524385,0.115404915834126,0.704580140882486
100190939,TPT1-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.0283893324885265,NA,NA,0.932359056146331,0.971977986166981,102.107773643535,0.334475553894091,0.0848771521805021
100190939,TPT1-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.656771694227408,NA,NA,0.0463572450469407,0.108738817117789,102.107773643535,0.329683827598011,-1.99212590745646
100190939,TPT1-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.334543926838109,NA,NA,0.351091711220944,0.71829414547643,41.534162482899,0.358770316437152,-0.932473818236613
100190939,TPT1-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.211498932343092,NA,NA,0.381739349553518,0.721200268978631,62.512679190555,0.241797079050074,-0.874695977197028
