entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.338550934,NA,NA,0.066344788,0.224808606,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.528863127,NA,NA,0.004285797,0.016940355,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.17579067,NA,NA,0.343668556,0.545625038,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.101577767,NA,NA,0.584864753,0.791043437,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.042549093,NA,NA,0.819179581,1,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.084323125,NA,NA,0.61532992,0.746057938,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.625788723,NA,NA,0.000200258,0.001086425,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.041676761,NA,NA,0.799127542,1,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.01394179,NA,NA,0.932505478,0.987143136,NA,NA,NA
51112,TRAPPC12,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-2.025880118,NA,NA,1.94e-23,2.69e-22,NA,NA,NA
