entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.304278289,NA,NA,0.420034673,0.644509864,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.367022191,NA,NA,0.33211877,0.46176254,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.32296516,NA,NA,0.396779016,0.59685774,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.896060078,NA,NA,0.02331758,0.190121337,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.258021463,NA,NA,0.509625066,1,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.386668919,NA,NA,0.40198596,0.564249153,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.569232486,NA,NA,0.217213759,0.345814303,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.011142708,NA,NA,0.980774241,1,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.422780899,NA,NA,0.359828315,0.750588267,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.362878275,NA,NA,0.591656228,0.657532934,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-1.040394607,NA,NA,0.132132372,0.173629702,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.030124291,NA,NA,0.961552244,1,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.206232508,NA,NA,0.760405535,0.832142922,NA,NA,NA
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.152115673131166,NA,NA,0.784967675510493,0.99776532938064,2.49002485343137,0.557504338167387,-0.272851102165763
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.717068204271789,NA,NA,0.473117823251105,0.586764506310746,10.6261340706437,0.999516053535106,-0.717415394916019
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.850738518078336,NA,NA,0.373473046271113,0.571415887230822,10.6261340706437,0.955900297486613,-0.889986665257054
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.654813724863533,NA,NA,0.537383395050047,0.881176506720608,3.98799800418156,1.06167423943086,-0.616774619316905
100505679,UBE2Q2L,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,2.4067337111882,NA,NA,0.490434563406326,0.820289698616605,0.279198177540986,3.48995294392759,0.689617811430909
