entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
27042,UTP25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.280996222,NA,NA,0.063060589,0.117615514,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.024767245,NA,NA,0.875415673,0.917758144,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.034835995,NA,NA,0.818273917,1,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.574352548,NA,NA,0.000192818,0.00115638,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.502353053,NA,NA,0.03772346,0.063435409,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.801765842,NA,NA,3.22e-05,7.98e-05,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.218772336,NA,NA,0.197908059,0.675161705,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.716868348,NA,NA,2.56e-16,2.06e-15,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.968517199,NA,NA,0.000543921,0.001223981,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.399394739,NA,NA,0.151095313,0.202189523,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.125330558,NA,NA,0.644905317,1,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.503967739,NA,NA,7.86e-08,5.68e-07,NA,NA,NA
27042,UTP25,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.286898602110732,NA,NA,0.0765685962741033,0.489799646901662,739.004075886838,0.162002423889888,-1.77095252788153
27042,UTP25,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.867375041868601,NA,NA,7.11077901836464e-08,2.57984951100128e-07,1167.85612379531,0.16097231445928,-5.38834920018506
27042,UTP25,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0995887179260965,NA,NA,0.523821067452572,0.72237215095287,1167.85612379531,0.156225822551246,-0.637466433524002
27042,UTP25,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.211890346386254,NA,NA,0.0139572185027389,0.0611896769460064,778.938714021902,0.0861916582246435,2.45836256954239
27042,UTP25,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.110779434699646,NA,NA,0.473860671474855,0.812533914899757,542.813535707353,0.154674159410522,-0.71621164855097
