entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
57020,VPS35L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.121354938,NA,NA,0.257943204,0.376416862,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.057455576,NA,NA,0.598053711,0.703412455,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.045013468,NA,NA,0.672180453,1,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.12483257,NA,NA,0.255019739,0.462566652,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.121178617,NA,NA,0.428963747,0.517417827,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.119761114,NA,NA,0.33843817,0.403677988,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.144977962,NA,NA,0.211738874,0.693766802,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.014631011,NA,NA,0.904464224,0.932368229,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.231981683,NA,NA,0.270065695,0.345476891,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.077864157,NA,NA,0.711776192,0.76430781,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.007337407,NA,NA,0.971988336,1,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.080846988,NA,NA,0.699636739,0.802578014,NA,NA,NA
57020,VPS35L,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.187480606558636,NA,NA,0.102564824052949,0.573294173560776,605.721508106766,0.114839504959503,-1.63254453791619
57020,VPS35L,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.58113586954655,NA,NA,3.92216318461573e-21,3.37736709347342e-20,1646.85934972981,0.167587779343727,-9.43467283675614
57020,VPS35L,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.12850154941731,NA,NA,6.18609667932973e-12,1.6055968123015e-10,1646.85934972981,0.164138596092725,-6.87529670827572
57020,VPS35L,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.272916317489729,NA,NA,6.30100277150713e-05,0.000494831351893165,1367.48015326441,0.0682078466607216,-4.00124517707274
57020,VPS35L,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.320237957689748,NA,NA,0.024718347492574,0.10090504527876,1064.74909081694,0.142595669104658,2.24577618451168
