entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.888977454,NA,NA,1.4e-18,1.86e-17,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.867915767,NA,NA,2.2e-16,2.28e-15,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.001407157,NA,NA,0.989107503,1,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.500082903,NA,NA,2.33e-06,2e-05,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.09290724,NA,NA,0.572556372,0.654368307,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.472746815,NA,NA,0.000155166,0.000353133,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.064713863,NA,NA,0.581575117,0.929581668,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.762136673,NA,NA,7.71e-08,2.93e-07,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.068171681,NA,NA,0.79931104,0.846351912,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.002276108,NA,NA,0.993237672,0.994655202,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.098189017,NA,NA,0.712515984,1,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.153737665,NA,NA,0.565739646,0.696937428,NA,NA,NA
253725,WASHC2C,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.258795439766018,NA,NA,0.00297229389848104,0.0575854367120362,1230.05604406994,0.087119238225095,2.9705888738071
253725,WASHC2C,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.65107735107684,NA,NA,6.89702090279931e-20,5.57683286960952e-19,1024.9172060839,0.180855585846744,-9.12925826065417
253725,WASHC2C,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.00194448633776,NA,NA,1.02820573623804e-08,1.41643598141773e-07,1024.9172060839,0.17498128801848,-5.72600932181926
253725,WASHC2C,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.095577789356346,NA,NA,0.158764014456312,0.427389066818354,1351.67534938966,0.0678221904306817,-1.40924067402441
253725,WASHC2C,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.285687604353353,NA,NA,0.0399795397086976,0.146609208214842,910.533846516529,0.139091107139489,-2.05396024396332
