entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.093006436,NA,NA,0.521533629,0.723358717,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.298680051,NA,NA,0.040195413,0.093943327,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.499375994,NA,NA,0.000623621,0.005055388,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.350375521,NA,NA,0.017098489,0.169198283,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.047527327,NA,NA,0.746222308,1,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.364840653,NA,NA,0.022193391,0.066356737,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.160361224,NA,NA,0.316993002,0.455887775,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.098529424,NA,NA,0.533450905,0.996915415,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.109738971,NA,NA,0.488911265,0.829584809,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.738209664,NA,NA,3.22e-07,1.01e-06,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.274183373,NA,NA,0.068454949,0.095693243,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.05371837,NA,NA,0.704848798,1,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.6508274,NA,NA,7.43e-06,3.8e-05,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.02792416,NA,NA,0.826727745,0.888213683,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.097456622,NA,NA,0.452530386,0.569465215,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.07682131,NA,NA,0.543727407,1,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.086605628,NA,NA,0.512863052,0.720311172,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.800838922,NA,NA,1.98e-05,6.18e-05,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.41837757,NA,NA,0.010623275,0.017862052,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.133378394,NA,NA,0.395088183,0.854603805,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.889257182,NA,NA,2.38e-08,9.53e-08,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.759949701,NA,NA,0.004451974,0.008603545,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.334121751,NA,NA,0.211366223,0.272131809,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.028251093,NA,NA,0.915570751,1,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.419302775,NA,NA,0.115883428,0.207672681,NA,NA,NA
51398,WDR83OS,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0207779497880848,NA,NA,0.864092950781272,0.99776532938064,853.241940096615,0.12139037533025,-0.171166369092748
51398,WDR83OS,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.669502550549959,NA,NA,0.00762729118733955,0.0148816909424117,209.197357745386,0.250925004137262,-2.6681380472698
51398,WDR83OS,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.475106615400097,NA,NA,0.0472827329222254,0.110568683566111,209.197357745386,0.23949817424353,-1.98375881945969
51398,WDR83OS,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.11012343635674,NA,NA,0.327142291543844,0.688935022612835,440.329565392766,0.112383902770583,-0.979886208272574
51398,WDR83OS,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.536177482273279,NA,NA,0.00668325382695605,0.0360403529048215,706.773260323018,0.197688917013935,2.71222833516502
