entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
65998,ZFTA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.271117336,NA,NA,0.001385745,0.003996482,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.863109262,NA,NA,0.029049766,0.057306352,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.698403961,NA,NA,0.038265877,0.45146383,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-1.684725264,NA,NA,2.09e-05,0.000152653,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.19214419,NA,NA,0.066775904,0.105400781,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.986892743,NA,NA,0.067042516,0.096353721,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.047207866,NA,NA,0.928717945,1,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.349772448,NA,NA,0.024549443,0.041833508,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.530364879,NA,NA,0.375590929,0.456750999,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.189793545,NA,NA,0.750114951,0.79711687,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.202909922,NA,NA,0.709387864,1,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.172781256,NA,NA,0.046138693,0.095783082,NA,NA,NA
65998,ZFTA,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.523937905342158,NA,NA,2.26275328651172e-08,1.98206051305071e-06,686.225273511374,0.0937175106490016,-5.59060843287283
65998,ZFTA,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.205067124970711,NA,NA,0.332069734008901,0.437149052497821,327.313781909534,0.211419569876721,-0.969953373239223
65998,ZFTA,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.254035005792734,NA,NA,0.215679440350712,0.379517478572336,327.313781909534,0.20518153493817,-1.23809876882579
65998,ZFTA,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0604154920598956,NA,NA,0.58314413088144,0.902851688693953,493.133422189617,0.110086953200661,-0.54879793021225
65998,ZFTA,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.0538421349225254,NA,NA,0.829067621379825,0.986307224021891,280.044224295692,0.249387450482643,0.215897531404744
