entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
64397,ZNF106,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.105242451,NA,NA,0.594174408,0.774537145,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.473151909,NA,NA,0.016670895,0.048146167,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.01211627,NA,NA,0.951222141,0.975648473,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.754967821,NA,NA,0.000168989,0.012605437,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.127062577,NA,NA,0.521408722,1,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.522749665,NA,NA,0.003008971,0.013242387,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.077598173,NA,NA,0.664633413,0.771898458,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.060858915,NA,NA,0.723551292,0.997955363,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.029313052,NA,NA,0.865216092,0.970352874,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.426625989,NA,NA,0.001139392,0.00228455,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.144737063,NA,NA,0.288999254,0.346525491,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.169877081,NA,NA,0.197294742,0.885390957,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.579075202,NA,NA,1.02e-05,5.04e-05,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.883975186,NA,NA,6.08e-18,7.81e-17,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.936744351,NA,NA,2.97e-19,3.7e-18,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.106969753,NA,NA,0.291018111,0.964720288,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.287577964,NA,NA,0.00501617,0.020448701,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.507242791,NA,NA,2.47e-28,5.12e-27,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.472318395,NA,NA,1.68e-43,4.92e-42,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.074069661,NA,NA,0.454134219,0.885715269,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.433779556,NA,NA,1.42e-36,3.98e-35,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.617826435,NA,NA,3.67e-38,1.28e-36,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.897693317,NA,NA,7.4e-50,3.23e-48,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.077163816,NA,NA,0.525067559,1,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.763802857,NA,NA,6.18e-10,6.05e-09,NA,NA,NA
64397,ZNF106,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0419491367472021,NA,NA,0.740974093546279,0.99776532938064,3527.86560095012,0.126901837148897,0.330563667868591
64397,ZNF106,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.35750696344054,NA,NA,1.92800283350033e-17,1.36796229911514e-16,1417.9140478316,0.159743328393087,-8.49805107415859
64397,ZNF106,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.652080662051602,NA,NA,2.68460016867261e-05,0.000165409452153555,1417.9140478316,0.155305631010609,-4.19869297596207
64397,ZNF106,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.13745324552136,NA,NA,0.11659114147582,0.341646178955137,976.562934235211,0.0875920270337894,-1.56924380193116
64397,ZNF106,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.754371547006089,NA,NA,0.00205659509225558,0.014009012248985,2410.93349975943,0.24477202312556,-3.08193533465678
