entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.760155291,NA,NA,0.001888938,0.020966944,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.818795707,NA,NA,0.001138222,0.005969675,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.862152589,NA,NA,0.00072033,0.005734064,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.068469788,NA,NA,0.804026843,0.914802559,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.391637371,NA,NA,0.139428369,1,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.709731827,NA,NA,0.033457134,0.091028634,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.868956857,NA,NA,0.009404528,0.028167381,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.205037849,NA,NA,0.523934334,0.995401986,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.20247857,NA,NA,0.533936261,0.851938913,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,2.045234264,NA,NA,2.33e-16,1.77e-15,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,3.171353716,NA,NA,1.3e-30,1.98e-29,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.173032601,NA,NA,0.538859609,1,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,1.274438217,NA,NA,1.64e-06,9.55e-06,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.150601935,NA,NA,0.000719188,0.002201191,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.31370038,NA,NA,0.000340528,0.001036265,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.512106338,NA,NA,0.136968584,0.790707494,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.06780416,NA,NA,0.851696477,0.941983405,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.874687625,NA,NA,1.61e-06,5.88e-06,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.281171656,NA,NA,1.42e-11,6.89e-11,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.438951552,NA,NA,0.175403015,0.643005543,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.578105778,NA,NA,0.068667694,0.105275916,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.785262189,NA,NA,6.3e-10,2.93e-09,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.086115786,NA,NA,3.28e-13,1.76e-12,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.282328356,NA,NA,0.347436033,1,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.432801822,NA,NA,0.141434997,0.243675451,NA,NA,NA
401588,ZNF674-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0387708313423872,NA,NA,0.851795258506287,0.99776532938064,89.822062045882,0.207521192664556,0.186828298568318
401588,ZNF674-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.46117478483245,NA,NA,8.07772698667042e-21,6.84027351635948e-20,302.087999423502,0.262984517242114,9.35862997047309
401588,ZNF674-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.78713100070218,NA,NA,0.00304601656163326,0.0105953430761403,302.087999423502,0.265648417431284,2.96305548632071
401588,ZNF674-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.195182829842074,NA,NA,0.431279395157286,0.795825743418838,73.0036749687896,0.24800734812238,0.787004221123966
401588,ZNF674-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.113185024182782,NA,NA,0.780676300365042,0.978473885588832,35.2457771630027,0.40650019919083,-0.278437807430564
