entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.068117219,NA,NA,0.597264148,0.777318763,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.156390583,NA,NA,0.232982049,0.354311578,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.021674779,NA,NA,0.871939254,0.93805413,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.392826996,NA,NA,0.004171939,0.093016786,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.083827408,NA,NA,0.532014633,1,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.032857458,NA,NA,0.864134305,0.921922354,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.229502724,NA,NA,0.226358278,0.356787754,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.159153505,NA,NA,0.368397687,0.973595392,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.223258495,NA,NA,0.218688976,0.634348021,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.383885988,NA,NA,0.02440945,0.038965845,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.20538441,NA,NA,0.291736188,0.349481768,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.073518199,NA,NA,0.629691974,1,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.767866605,NA,NA,2.26e-05,0.000103462,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.297969406,NA,NA,0.123780299,0.207726829,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.669791143,NA,NA,0.000852407,0.002395489,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.047811746,NA,NA,0.806397392,1,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.185350285,NA,NA,0.352166357,0.572038006,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.209819502,NA,NA,0.485807479,0.573612517,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.005986248,NA,NA,0.978349322,0.982550159,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.411697519,NA,NA,0.050237272,0.321923107,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.528113752,NA,NA,1.31e-08,5.36e-08,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.430960615,NA,NA,0.024043047,0.040342666,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.202052903,NA,NA,0.306654792,0.377080826,NA,NA,NA
221785,ZSCAN25,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.235629291,NA,NA,0.211743703,1,NA,NA,NA
