entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.471560139,NA,NA,0.001088882,0.003213193,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.310573769,NA,NA,0.039304008,0.074543921,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.215805746,NA,NA,0.139996125,0.793225465,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.876095209,NA,NA,1.55e-09,2e-08,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.721382444,NA,NA,3.68e-05,0.000110032,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.433134627,NA,NA,0.000740314,0.00152702,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.274864613,NA,NA,0.02217988,0.18360333,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.761942551,NA,NA,1.47e-09,6.64e-09,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.361584933,NA,NA,3.14e-10,1.51e-09,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.9934302,NA,NA,4.61e-06,1.24e-05,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.165192431,NA,NA,0.432810034,1,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.286997963,NA,NA,1.5e-09,1.4e-08,NA,NA,NA
57700,FHIP2A,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.357993345532441,NA,NA,0.000526056757570705,0.0149475706405522,1434.50947026656,0.103253653245423,3.46712522298392
57700,FHIP2A,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.12591904139863,NA,NA,4.1189028024988e-25,4.32356078549796e-24,711.782861153247,0.205372628611329,-10.3515208222901
57700,FHIP2A,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.281322919757389,NA,NA,0.139764327112842,0.269706075127557,711.782861153247,0.190511806001931,-1.47666921888577
57700,FHIP2A,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.523036810382802,NA,NA,1.31628421592404e-10,2.14231080408079e-09,989.023394579953,0.0814029806706543,6.42527836295012
57700,FHIP2A,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.239808449502074,NA,NA,0.154423422684048,0.39850917175002,391.698214066834,0.168395393531075,1.42407962874484
