entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23111,SPART,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.157187586,NA,NA,2.29e-22,3.74e-21,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.925983722,NA,NA,5.21e-14,4.62e-13,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.004704595,NA,NA,0.96970173,1,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.992893927,NA,NA,6.67e-16,1.46e-14,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.153085151,NA,NA,0.305691004,0.390318613,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.351801062,NA,NA,0.006897843,0.012033224,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.080569686,NA,NA,0.531138712,0.919125551,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.837423493,NA,NA,1.31e-10,6.58e-10,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.068666728,NA,NA,0.663605361,0.731981133,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.120394723,NA,NA,0.448907331,0.523041925,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.062467035,NA,NA,0.690958711,1,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.102136831,NA,NA,0.517258416,0.654501489,NA,NA,NA
23111,SPART,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.367420729026138,NA,NA,0.00014795821737886,0.00516337255032911,3348.52472553987,0.096830538763728,3.79447159663818
23111,SPART,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.53227982897017,NA,NA,1.88674536036963e-35,3.17437591326925e-34,823.14311369302,0.203787596819061,-12.4260743465096
23111,SPART,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0225548379606102,NA,NA,0.902703406131279,0.973725350415853,823.14311369302,0.184502181959673,-0.122246998496419
23111,SPART,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.702497565441442,NA,NA,1.51633279837766e-16,3.94166156581812e-15,911.12728145926,0.0850974626299207,8.25521165650409
23111,SPART,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.124690454998771,NA,NA,0.554038558156429,0.871047907749636,1194.89540190585,0.210725678795328,0.591719318270076
